TIME,O3PPM,TMP,RH%
11:49:38,120.364845,32.7,20.8
11:49:39,121.78273,32.7,20.8
11:49:39,123.19399,32.7,20.8
11:49:39,124.54256,32.7,20.8
11:49:39,125.8643,32.7,20.8
11:49:39,127.232635,32.7,20.8
11:49:39,128.56897,32.7,20.8
11:49:40,129.84631,32.7,20.8
11:49:40,131.13087,32.7,20.8
11:49:40,132.35617,32.7,20.8
11:49:40,133.58273,32.7,20.8
11:49:40,134.81221,32.7,20.8
11:49:40,136.01971,32.7,20.8
11:49:41,137.22037,32.7,20.8
11:49:41,138.41391,32.7,20.8
11:49:41,139.63318,32.7,20.8
11:49:41,140.86485,32.7,20.8
11:49:41,142.08128,32.7,20.8
11:49:41,143.26932,32.7,20.8
11:49:41,144.43317,32.7,20.8
11:49:42,145.58978,32.7,20.8
11:49:42,146.70837,32.7,20.8
11:49:42,147.82457,32.7,20.8
11:49:42,148.9521,32.7,20.8
11:49:42,150.06772,32.7,20.8
11:49:42,151.15445,32.7,20.8
11:49:43,152.28954,32.7,20.8
11:49:43,153.3594,32.7,20.8
11:49:43,154.41061,32.7,20.8
11:49:43,155.49075,32.7,20.8
11:49:43,156.50676,32.7,20.8
11:49:43,157.54272,32.7,20.8
11:49:43,158.52779,32.7,20.8
11:49:44,159.52745,32.7,20.8
11:49:44,160.52664,32.7,20.8
11:49:44,161.48119,32.7,20.8
11:49:44,162.4193,32.7,20.8
11:49:44,163.29396,32.7,20.8
11:49:44,164.18663,32.7,20.8
11:49:45,165.1061,32.7,20.8
11:49:45,166.00418,32.7,20.8
11:49:45,166.85506,32.7,20.8
11:49:45,167.70908,32.7,20.8
11:49:45,168.62733,32.7,20.8
11:49:45,169.49959,32.7,20.8
11:49:45,170.41429,32.7,20.8
11:49:46,171.28096,32.7,20.8
11:49:46,172.14447,32.7,20.8
11:49:46,172.98708,32.7,20.8
11:49:46,173.80626,32.7,20.8
11:49:46,174.60828,32.7,20.8
11:49:46,175.49297,32.7,20.8
11:49:47,176.32811,32.7,20.8
11:49:47,177.16162,32.7,20.8
11:49:47,178.04442,32.7,20.8
11:49:47,178.85245,32.7,20.8
11:49:47,179.64883,32.7,20.8
11:49:47,180.48389,32.7,20.8
11:49:47,181.28685,32.7,20.8
11:49:48,182.06581,32.7,20.8
11:49:48,182.83582,32.7,20.8
11:49:48,183.6685,32.7,20.8
11:49:48,184.54042,32.7,20.8
11:49:48,185.37029,32.7,20.8
11:49:48,186.18706,32.7,20.8
11:49:49,186.99179,32.7,20.8
11:49:49,187.87299,32.7,20.8
11:49:49,188.61842,32.7,20.8
11:49:49,189.43529,32.7,20.8
11:49:49,190.18826,32.7,20.8
11:49:49,190.98563,32.7,20.8
11:49:49,191.7149,32.7,20.8
11:49:50,192.47075,32.7,20.8
11:49:50,193.26176,32.7,20.8
11:49:50,194.03839,32.7,20.8
11:49:50,194.80894,32.7,20.8
11:49:50,195.53032,32.7,20.8
11:49:50,196.2852,32.7,20.8
11:49:51,197.05183,32.7,20.8
11:49:51,197.82585,32.7,20.8
11:49:51,198.63239,32.7,20.8
11:49:51,199.37521,32.7,20.8
11:49:51,200.14058,32.7,20.8
11:49:51,200.86755,32.7,20.8
11:49:51,201.56921,32.7,20.8
11:49:52,202.34036,32.7,20.8
11:49:52,203.02158,32.7,20.8
11:49:52,203.7387,32.7,20.8
11:49:52,204.51749,32.7,20.8
11:49:52,205.22453,32.7,20.8
11:49:52,205.98659,32.7,20.8
11:49:53,206.72824,32.7,20.8
11:49:53,207.44084,32.7,20.8
11:49:53,208.1585,32.7,20.8
11:49:53,208.8955,32.7,20.8
11:49:53,209.59044,32.7,20.8
11:49:53,210.31172,32.7,20.8
11:49:53,211.04,32.7,20.8
11:49:54,211.81023,32.7,20.8
11:49:54,212.58234,32.7,20.8
11:49:54,213.39032,32.7,20.8
11:49:54,214.11716,32.7,20.8
11:49:54,214.85104,32.7,20.8
11:49:54,215.65448,32.7,20.8
11:49:55,216.35477,32.7,20.8
11:49:55,217.1388,32.7,20.8
11:49:55,217.89424,32.7,20.8
11:49:55,218.71078,32.7,20.8
11:49:55,219.47578,32.7,20.8
11:49:55,220.24248,32.7,20.8
11:49:55,221.07603,32.7,20.8
11:49:56,221.85788,32.7,20.8
11:49:56,222.66309,32.7,20.8
11:49:56,223.47601,32.7,20.8
11:49:56,224.269,32.7,20.8
11:49:56,225.1026,32.7,20.8
11:49:56,225.86119,32.7,20.8
11:49:57,226.65486,32.7,20.8
11:49:57,227.37486,32.7,20.8
11:49:57,228.187,32.7,20.8
11:49:57,228.95853,32.7,20.8
11:49:57,229.82841,32.7,20.8
11:49:57,230.71013,32.7,20.8
11:49:58,231.56255,32.7,20.8
11:49:58,232.43953,32.7,20.8
11:49:58,233.28143,32.7,20.8
11:49:58,234.06924,32.7,20.8
11:49:58,234.86038,32.7,20.8
11:49:58,235.59119,32.7,20.8
11:49:58,236.4413,32.7,20.8
11:49:59,237.2764,32.7,20.8
11:49:59,238.07933,32.7,20.8
11:49:59,238.85165,32.7,20.8
11:49:59,239.61809,32.7,20.8
11:49:59,240.29634,32.7,20.8
11:49:59,241.08711,32.7,20.8
11:50:0,241.79117,32.7,20.8
11:50:0,242.501,32.7,20.8
11:50:0,243.25221,32.7,20.8
11:50:0,243.96107,32.7,20.8
11:50:0,244.7453,32.7,20.8
11:50:0,245.52515,32.7,20.8
11:50:0,246.28531,32.7,20.8
11:50:1,247.17639,32.7,20.8
